Activity Date,Activity Name,Activity ID,Type,Equipment,Distance,Total Time,Moving Time,Avg Speed,Max Speed,Avg Power,Elevation Gain,Avg Grade,Kudos,Comments,Photos,Riders,Commute,Trainer,Description,num
"Jan 3, 2020 5:16 PM",Afternoon Activity,2982526743,NordicSki,,2.31,00:56:03,00:44:30,3.1,13.4,0,228,98.7,0,0,0,1,,,,
"Feb 10, 2019 1:31 PM",Afternoon Activity,3388549690,NordicSki,,4.14,01:12:18,01:10:20,3.5,12.1,0,816,197.3,0,0,0,1,,,,1
"Mar 24, 2019 4:22 PM",Afternoon Activity,3388553656,NordicSki,,5.13,01:34:06,01:24:49,3.6,24.2,0,2314,451.2,0,0,0,1,,,,2
"Mar 11, 2019 5:27 PM",Afternoon Activity,3388549705,NordicSki,,5.39,01:42:29,01:26:26,3.7,26.8,0,2339,434.1,0,0,0,1,,,,3
"Mar 18, 2019 5:27 PM",Afternoon Activity,3388549722,NordicSki,,5.38,01:43:46,01:26:23,3.7,21.5,0,2320,431.2,0,0,0,1,,,,4
"Nov 24, 2019 1:34 PM",Afternoon Activity,2889424739,NordicSki,,2.95,02:49:48,01:04:07,2.8,21.9,0,1399,475,0,0,0,2,,,,5
"May 12, 2019 1:56 PM",Afternoon Hike,2362996862,Hike,,0.46,00:15:07,00:13:51,2,9.2,0,76,166,0,0,0,1,,,,
"May 15, 2019 3:08 PM",Afternoon Hike,2371064247,Hike,,0.37,00:22:00,00:20:08,1.1,4,0,154,415.7,0,0,0,1,,,,1
"Nov 15, 2019 1:53 PM",Afternoon Hike,2882220127,Hike,,0.47,00:26:38,00:09:09,3.1,5.4,0,478,1019.6,0,0,0,1,,,,2
"Dec 23, 2019 4:05 PM",Afternoon Hike,2952296018,Hike,,1.67,00:29:10,00:26:58,3.7,8.3,0,0,0,0,0,0,1,,,,3
"Dec 19, 2019 1:44 PM",Afternoon Hike,2943896631,Hike,,2.05,00:49:59,00:46:51,2.6,6.3,0,853,415.2,0,0,0,1,,,,4
"May 12, 2019 4:21 PM",Afternoon Hike,2363266409,Hike,,2.5,00:51:11,00:49:15,3,7.4,0,843,337.5,0,0,0,1,,,,5
"Jan 12, 2020 1:49 PM",Afternoon Hike,3006803097,Hike,,2.16,00:53:05,00:52:48,2.4,4.9,0,736,341.5,1,0,0,1,,,,6
"Dec 30, 2019 3:51 PM",Afternoon Hike,2969096341,Hike,,2.34,00:54:45,00:54:27,2.6,5.4,0,898,384.4,0,0,0,1,,,,7
"Dec 30, 2019 2:21 PM",Afternoon Hike,2969096382,Hike,,2.17,00:56:47,00:51:14,2.5,16.6,0,1022,470.4,1,0,0,1,,,,8
"Dec 20, 2019 2:36 PM",Afternoon Hike,2945655501,Hike,,3.18,00:57:56,00:55:22,3.4,6.3,0,656,206.4,0,0,0,1,,,,9
"Dec 23, 2019 3:03 PM",Afternoon Hike,2952294888,Hike,,2.31,01:00:20,00:58:19,2.4,6.3,0,1950,845,0,0,0,1,,,,10
"Jun 16, 2020 1:30 PM",Afternoon Hike,3625786064,Hike,,3.08,01:00:58,01:00:58,3,6.3,0,627,203.4,0,0,0,1,,,,11
"Jun 25, 2020 3:54 PM",Afternoon Hike,3671465784,Hike,,3.29,01:01:26,00:59:19,3.3,14.8,0,135,40.9,0,0,0,1,,,,12
"May 15, 2019 1:57 PM",Afternoon Hike,2371064255,Hike,,1.52,01:01:57,00:56:00,1.6,6,0,234,153.4,0,0,0,1,,,,13
"Nov 3, 2018 4:08 PM",Afternoon Hike,3388549696,Hike,,3.72,01:02:17,01:02:01,3.6,42.5,0,149,40.1,0,0,0,1,,,,14
"Oct 15, 2018 4:09 PM",Afternoon Hike,3388549676,Hike,,4.84,01:19:18,01:19:18,3.7,11,0,561,116,0,0,0,1,,,,15
"Dec 8, 2020 3:09 PM",Afternoon Hike,4448205435,Hike,,4.23,01:34:04,01:34:04,2.7,7.6,0,2110,499.2,0,0,0,1,,,,16
"Dec 22, 2020 2:51 PM",Afternoon Hike,4506254749,Hike,,4.32,01:35:13,01:31:55,2.8,7.6,0,2139,495.5,1,0,0,1,,,,17
"Oct 15, 2018 1:26 PM",Afternoon Hike,3388549695,Hike,,5.44,01:49:48,01:48:37,3,7.4,0,3161,580.9,0,0,0,1,,,,18
"Apr 2, 2019 1:37 PM",Afternoon Hike,3388553690,Hike,,2,02:21:52,01:07:01,1.8,6.3,0,259,129.5,0,0,0,1,,,,19
"Jan 1, 2020 2:53 PM",Afternoon Hike,2974338173,Hike,,3.31,02:30:37,01:17:27,2.6,5.8,0,1329,401.1,1,0,0,1,,,,20
"Jun 7, 2020 1:05 PM",Afternoon Hike,3580457599,Hike,,7.4,03:16:25,03:01:43,2.4,6.7,0,2054,277.6,1,0,2,1,,,,21
"Aug 21, 2020 3:00 PM",Afternoon Ride,3946750855,Ride,,1.78,00:08:32,00:07:46,13.7,21.5,123.3,0,0,0,0,0,1,Commute,,,
"Jun 11, 2019 5:21 PM",Afternoon Ride,2443134475,Ride,,2.45,00:29:49,00:24:44,6,21.5,0,66,27,0,0,0,1,,,,1
"Sep 23, 2020 3:42 PM",Afternoon Ride,4103611260,Ride,,8.62,00:31:42,00:31:22,16.5,22.8,173.7,102,11.8,1,0,0,1,Commute,,,2
"Aug 28, 2020 2:56 PM",Afternoon Ride,3981344001,Ride,,8.59,00:31:52,00:31:52,16.2,24.6,167.3,102,11.8,0,0,0,1,Commute,,,3
"Sep 4, 2020 2:54 PM",Afternoon Ride,4014716762,Ride,,8.6,00:32:26,00:30:11,17.1,25.9,182.8,105,12.2,1,0,0,1,Commute,,,4
"Sep 3, 2020 1:53 PM",Afternoon Ride,4007389414,Ride,,8.71,00:32:50,00:32:50,15.9,23.7,167,92,10.6,0,0,0,1,Commute,,,5
